right,K,expiry_iso,T,close,conId,symbol,last_trade_ts_utc,T_req
C,260.0,2025-10-31T16:00:00-04:00,0.0210045662100456,29.43,813545001,MSTR  251031C00260000,,0.021
C,290.0,2025-10-31T16:00:00-04:00,0.0210045662100456,9.43,813545246,MSTR  251031C00290000,,0.021
C,320.0,2025-10-31T16:00:00-04:00,0.0210045662100456,1.95,813545550,MSTR  251031C00320000,,0.021
C,370.0,2025-10-31T16:00:00-04:00,0.0210045662100456,0.44,813546031,MSTR  251031C00370000,,0.021
C,260.0,2025-11-07T16:00:00-05:00,0.040296803652968,32.19,817710877,MSTR  251107C00260000,,0.04
C,290.0,2025-11-07T16:00:00-05:00,0.040296803652968,13.15,817711246,MSTR  251107C00290000,,0.04
C,320.0,2025-11-07T16:00:00-05:00,0.040296803652968,4.12,817711573,MSTR  251107C00320000,,0.04
C,370.0,2025-11-07T16:00:00-05:00,0.040296803652968,0.95,817712180,MSTR  251107C00370000,,0.04
C,260.0,2025-11-14T16:00:00-05:00,0.0594748858447488,35.02,819926574,MSTR  251114C00260000,,0.059
C,290.0,2025-11-14T16:00:00-05:00,0.0594748858447488,16.6,819628751,MSTR  251114C00290000,,0.059
C,320.0,2025-11-14T16:00:00-05:00,0.0594748858447488,6.45,819629175,MSTR  251114C00320000,,0.059
C,370.0,2025-11-14T16:00:00-05:00,0.0594748858447488,1.73,819629847,MSTR  251114C00370000,,0.059
C,260.0,2025-11-28T16:00:00-05:00,0.0978310502283105,38.698828087218274,821390159,MSTR  251128C00260000,,0.098
C,290.0,2025-11-28T16:00:00-05:00,0.0978310502283105,21.04520146223069,821390558,MSTR  251128C00290000,,0.098
C,320.0,2025-11-28T16:00:00-05:00,0.0978310502283105,10.31180598152191,821390909,MSTR  251128C00320000,,0.098
C,370.0,2025-11-28T16:00:00-05:00,0.0978310502283105,3.403120467943692,821391500,MSTR  251128C00370000,,0.098
C,260.0,2026-01-16T16:00:00-05:00,0.2320776255707762,50.96958317421648,689769245,MSTR  260116C00260000,,0.194
C,260.0,2026-01-16T16:00:00-05:00,0.2320776255707762,50.96958317421648,689769245,MSTR  260116C00260000,,0.27
C,290.0,2026-01-16T16:00:00-05:00,0.2320776255707762,34.96831613829899,689769486,MSTR  260116C00290000,,0.194
